src/lib/shoppingListGeneration.ts | error | @typescript-eslint/no-unused-vars | '_farmId' is defined but never used.
src/lib/shoppingListGeneration.ts | error | @typescript-eslint/no-unused-vars | 'farmId' is defined but never used.
src/lib/shoppingListGeneration.ts | error | @typescript-eslint/no-unused-vars | 'farmId' is defined but never used.
src/lib/shoppingListGeneration.ts | error | prefer-const | 'templateMap' is never reassigned. Use 'const' instead.
src/lib/templateLib/cascadeUpdates.ts | error | @typescript-eslint/no-unused-vars | 'taskId' is defined but never used.
src/lib/templateLib/programCosts.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/templateLib/programCosts.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/templateLib/templateApplication.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/transactionUtils.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/workOrderCrud.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/workOrderCrud.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/workOrderCrud.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/workOrderCrud.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/workOrderCrud.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/workOrderCrud.ts | error | no-fallthrough | Expected a 'break' statement before 'case'.
src/pages/AccountSettings.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/AccountSettings.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has missing dependencies: 'loadProfile' and 'user'. Either include them or remove the dependency array.
